"40320_16001","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","8 Ryan Jeffers","9 Christian Vazquez","2 Byron Buxton","7 Max Kepler"
"40320_16002","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","8 Ryan Jeffers","9 Christian Vazquez","7 Max Kepler","2 Byron Buxton"
"40320_16003","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","9 Christian Vazquez","2 Byron Buxton","7 Max Kepler","8 Ryan Jeffers"
"40320_16004","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","9 Christian Vazquez","2 Byron Buxton","8 Ryan Jeffers","7 Max Kepler"
"40320_16005","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","9 Christian Vazquez","7 Max Kepler","2 Byron Buxton","8 Ryan Jeffers"
"40320_16006","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","9 Christian Vazquez","7 Max Kepler","8 Ryan Jeffers","2 Byron Buxton"
"40320_16007","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","9 Christian Vazquez","8 Ryan Jeffers","2 Byron Buxton","7 Max Kepler"
"40320_16008","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","6 Carlos Correa","9 Christian Vazquez","8 Ryan Jeffers","7 Max Kepler","2 Byron Buxton"
"40320_16009","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","2 Byron Buxton","6 Carlos Correa","8 Ryan Jeffers","9 Christian Vazquez"
"40320_16010","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","2 Byron Buxton","6 Carlos Correa","9 Christian Vazquez","8 Ryan Jeffers"
"40320_16011","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","2 Byron Buxton","8 Ryan Jeffers","6 Carlos Correa","9 Christian Vazquez"
"40320_16012","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","2 Byron Buxton","8 Ryan Jeffers","9 Christian Vazquez","6 Carlos Correa"
"40320_16013","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","2 Byron Buxton","9 Christian Vazquez","6 Carlos Correa","8 Ryan Jeffers"
"40320_16014","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","2 Byron Buxton","9 Christian Vazquez","8 Ryan Jeffers","6 Carlos Correa"
"40320_16015","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","6 Carlos Correa","2 Byron Buxton","8 Ryan Jeffers","9 Christian Vazquez"
"40320_16016","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","6 Carlos Correa","2 Byron Buxton","9 Christian Vazquez","8 Ryan Jeffers"
"40320_16017","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","6 Carlos Correa","8 Ryan Jeffers","2 Byron Buxton","9 Christian Vazquez"
"40320_16018","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","6 Carlos Correa","8 Ryan Jeffers","9 Christian Vazquez","2 Byron Buxton"
"40320_16019","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","6 Carlos Correa","9 Christian Vazquez","2 Byron Buxton","8 Ryan Jeffers"
"40320_16020","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","6 Carlos Correa","9 Christian Vazquez","8 Ryan Jeffers","2 Byron Buxton"
"40320_16021","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","8 Ryan Jeffers","2 Byron Buxton","6 Carlos Correa","9 Christian Vazquez"
"40320_16022","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","8 Ryan Jeffers","2 Byron Buxton","9 Christian Vazquez","6 Carlos Correa"
"40320_16023","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","8 Ryan Jeffers","6 Carlos Correa","2 Byron Buxton","9 Christian Vazquez"
"40320_16024","1 Willi Castro","5 Edouard Julien","3 Matt Wallner","4 Royce Lewis","7 Max Kepler","8 Ryan Jeffers","6 Carlos Correa","9 Christian Vazquez","2 Byron Buxton"
